"Zeitstempel","How old are you?","What is your gender?","What is your current country of residence?","Would you say you live in a ...?","Do you separate garbage at home?","Which parts of garbage do you separate? (multiple answers possible)","Is garbage separation at households required by law in your neighborhood?"
"2019/08/02 12:37:31 PM GMT","66","Apache Attack-Helicopter","Narnia","A farm or home on the countryside","Yes","Plastic;Glas;Organic;Nuclear waste","Yes"
"2019/08/02 12:45:04 PM GMT","41","Female","United Kingdom","The suburs or outskirts of a big city","Yes","Plastic;Paper;Glas;Metal","No"
"2019/08/02 12:45:17 PM GMT","22","","United Kingdom","A town or small city","Yes","Plastic","No"
"2019/08/02 12:45:17 PM GMT","37","Male","United Kingdom","A town or small city","No","I don´t separate","No"
"2019/08/02 12:45:47 PM GMT","37","Male","Canada","The suburs or outskirts of a big city","Yes","Plastic;Paper;Glas;Organic","Don´t know."
"2019/08/02 12:46:14 PM GMT","45","Male","uk","The suburs or outskirts of a big city","Yes","Plastic;Paper;Glas;Organic","No"
"2019/08/02 12:47:49 PM GMT","24","Female","Austria","A town or small city","Yes","Plastic;Paper;Glas;Metal;Organic","No"
"2019/08/02 12:48:20 PM GMT","33","Female","France","A town or small city","No","I don´t separate","No"
"2019/08/02 12:50:08 PM GMT","23","Female","UK","A big city","Yes","Plastic;Paper;Glas;Metal","No"
"2019/08/02 12:51:54 PM GMT","24","Female","italy","A town or small city","Yes","Plastic;Paper;Glas;Metal;Organic","Yes"
"2019/08/02 12:52:43 PM GMT","37","Female","canada","A big city","Yes","Plastic;Paper;Glas","No"
"2019/08/02 12:52:59 PM GMT","24","Female","italy","A town or small city","Yes","Plastic;Paper;Glas;Metal;Organic","Yes"
"2019/08/02 12:53:51 PM GMT","37","Female","canada","A big city","Yes","Plastic;Paper;Glas","No"
"2019/08/02 12:54:04 PM GMT","22","Male","France","A town or small city","No","I don´t separate","No"
"2019/08/02 12:54:59 PM GMT","23","Female","Portugal ","The suburs or outskirts of a big city","Yes","Plastic;Paper;Glas;Metal","No"
"2019/08/02 12:55:34 PM GMT","22","non-binary","Scotland","A country village","Yes","Plastic;Paper;Glas;Metal","Don´t know."
"2019/08/02 12:55:50 PM GMT","26","Female","Poland","A big city","Yes","Plastic;Paper;Glas;Metal","Yes"
"2019/08/02 12:57:20 PM GMT","33","Male","Germany","A big city","Yes","Plastic;Paper;Organic","No"
"2019/08/02 12:57:27 PM GMT","25","Male","United Kingdom","A town or small city","Yes","Paper;Metal;Organic","Yes"
"2019/08/02 12:57:58 PM GMT","51","Male","United States","A town or small city","Yes","Plastic;Paper;Glas;Metal","No"
"2019/08/02 12:58:38 PM GMT","50","Male","usa","The suburs or outskirts of a big city","Yes","Plastic;Paper;Glas;Metal","No"
"2019/08/02 12:59:14 PM GMT","36","Female","United States","A town or small city","No","I don´t separate","No"
"2019/08/02 12:59:41 PM GMT","62","Male","uk","A country village","Yes","Plastic;Paper;Glas;Organic","Yes"
"2019/08/02 1:00:06 PM GMT","44","Male","United States","A town or small city","Yes","Plastic;Paper;Glas;Metal","Don´t know."
"2019/08/02 1:00:14 PM GMT","25","Male","Sweden","A town or small city","Yes","Plastic;Paper;Glas;Organic","Yes"
"2019/08/02 1:01:21 PM GMT","27","Male","United Kingdom","A big city","No","I don´t separate","No"
"2019/08/02 1:02:47 PM GMT","42","Female","Scotland ","A country village","Yes","Plastic;Paper;Glas;Metal","Don´t know."
"2019/08/02 1:03:36 PM GMT","28","Female","England ","A town or small city","Yes","Plastic;Paper;Glas;Metal","No"
"2019/08/02 1:03:46 PM GMT","36","Female","Canada","A big city","Yes","Plastic;Paper;Organic","Yes"
"2019/08/02 1:06:05 PM GMT","35","Female","England","A town or small city","Yes","Plastic;Paper;Glas","Don´t know."
"2019/08/02 1:06:12 PM GMT","35","Female","England","A town or small city","Yes","Plastic;Paper;Glas","Don´t know."
"2019/08/02 1:06:18 PM GMT","24","Female","UK","A town or small city","Yes","Plastic;Paper;Glas;Metal","Yes"
"2019/08/02 1:07:06 PM GMT","31","Female","England","A country village","Yes","Plastic;Paper;Glas;Metal;Organic","No"
"2019/08/02 1:08:50 PM GMT","18","Female","United Kingdom","A town or small city","Yes","Plastic;Paper;Glas;Metal","Yes"
"2019/08/02 1:10:03 PM GMT","18","Female","United Kingdom ","A town or small city","Yes","Plastic;Paper;Glas;Metal","Yes"
"2019/08/02 1:11:03 PM GMT","23","Male","United Kingdom","A big city","No","Plastic;Paper;Metal","Yes"
"2019/08/02 1:11:48 PM GMT","21","Male","England","The suburs or outskirts of a big city","Yes","Plastic;Paper;Glas;Metal;Organic","Don´t know."
"2019/08/02 1:11:50 PM GMT","20","Female","United States of America","A big city","No","I don´t separate","No"
"2019/08/02 1:12:24 PM GMT","35","Male","United Kingdom","The suburs or outskirts of a big city","Yes","Plastic;Paper;Glas;Metal","Yes"
"2019/08/02 1:12:37 PM GMT","30","Female","Poland","A big city","Yes","Plastic;Glas;Metal","Yes"
"2019/08/02 1:12:50 PM GMT","20","Female","USA","A big city","No","I don´t separate","No"
"2019/08/02 1:13:27 PM GMT","","Female","Scotland ","A town or small city","No","I don´t separate","No"
"2019/08/02 1:14:11 PM GMT","29","Female","Germany","A big city","Yes","Plastic;Paper;Glas;Organic","Yes"
"2019/08/02 1:14:27 PM GMT","26","Male","United Kingdom","A big city","Yes","Paper;Glas;Metal","Don´t know."
"2019/08/02 1:14:33 PM GMT","21","Female","Scotland","A big city","No","I don´t separate","No"
"2019/08/02 1:14:36 PM GMT","18","Male","Estonia","A farm or home on the countryside","Yes","Plastic;Glas;Metal;Organic","No"
"2019/08/02 1:14:48 PM GMT","29","Male","United Kingdom","A town or small city","Yes","Plastic;Paper;Glas;Metal;Organic","Yes"
"2019/08/02 1:15:29 PM GMT","32","Male","Canada","A town or small city","Yes","Organic","No"
